model,role,context,format,parse_rate,accuracy,mean_prediction,mode_prediction,category_accuracy,hybrid_consistency
1B,forced_answer,BP,numeric,1.0,0.1667,2.3333,2.0,,
1B,forced_answer,Creatinine,numeric,1.0,0.1667,2.0,2.0,,
1B,forced_answer,Glucose,numeric,1.0,0.1667,2.0,2.0,,
1B,forced_answer,HR,numeric,1.0,0.1667,2.0,2.0,,
1B,forced_answer,HbA1c,numeric,1.0,0.1667,2.0,2.0,,
1B,forced_answer,Insulin,numeric,1.0,0.1667,2.0,2.0,,
1B,forced_answer,TG,numeric,1.0,0.1667,2.0,2.0,,
1B,forced_answer,Temp,numeric,1.0,0.1667,2.0,2.0,,
1B,instruction_constrained,BP,numeric,1.0,0.3333,2.5,2.0,,
1B,instruction_constrained,Creatinine,numeric,1.0,0.1667,2.1667,2.0,,
1B,instruction_constrained,Glucose,numeric,1.0,0.1667,2.0,2.0,,
1B,instruction_constrained,HR,numeric,1.0,0.1667,2.0,2.0,,
1B,instruction_constrained,HbA1c,numeric,1.0,0.1667,2.0,2.0,,
1B,instruction_constrained,Insulin,numeric,1.0,0.1667,2.0,2.0,,
1B,instruction_constrained,TG,numeric,1.0,0.1667,2.0,2.0,,
1B,instruction_constrained,Temp,numeric,1.0,0.1667,2.0,2.0,,
1B,role_prompting,BP,numeric,0.6667,0.0,3.0,2.0,,
1B,role_prompting,Creatinine,numeric,1.0,0.1667,2.3333,2.0,,
1B,role_prompting,Glucose,numeric,0.0,0.0,,,,
1B,role_prompting,HR,numeric,0.5,0.1667,2.6667,2.0,,
1B,role_prompting,HbA1c,numeric,0.3333,0.0,3.0,2.0,,
1B,role_prompting,Insulin,numeric,0.1667,0.0,2.0,2.0,,
1B,role_prompting,TG,numeric,0.0,0.0,,,,
1B,role_prompting,Temp,numeric,1.0,0.3333,3.0,2.0,,
1B,zero_shot,BP,numeric,0.0,0.0,,,,
1B,zero_shot,Creatinine,numeric,1.0,0.3333,1.0,0.0,,
1B,zero_shot,Glucose,numeric,0.0,0.0,,,,
1B,zero_shot,HR,numeric,0.0,0.0,,,,
1B,zero_shot,HbA1c,numeric,0.1667,0.0,5.0,5.0,,
1B,zero_shot,Insulin,numeric,1.0,0.3333,3.5,4.0,,
1B,zero_shot,TG,numeric,0.0,0.0,,,,
1B,zero_shot,Temp,numeric,0.3333,0.1667,2.0,2.0,,
3B,forced_answer,BP,numeric,1.0,0.1667,3.5,4.0,,
3B,forced_answer,Creatinine,numeric,1.0,0.1667,3.1667,4.0,,
3B,forced_answer,Glucose,numeric,1.0,0.1667,3.3333,4.0,,
3B,forced_answer,HR,numeric,1.0,0.5,3.3333,4.0,,
3B,forced_answer,HbA1c,numeric,1.0,0.1667,3.3333,4.0,,
3B,forced_answer,Insulin,numeric,1.0,0.1667,3.0,3.0,,
3B,forced_answer,TG,numeric,1.0,0.1667,3.8333,4.0,,
3B,forced_answer,Temp,numeric,1.0,0.3333,3.1667,4.0,,
3B,instruction_constrained,BP,numeric,1.0,0.1667,3.5,4.0,,
3B,instruction_constrained,Creatinine,numeric,1.0,0.1667,3.1667,4.0,,
3B,instruction_constrained,Glucose,numeric,1.0,0.3333,3.1667,4.0,,
3B,instruction_constrained,HR,numeric,1.0,0.3333,3.3333,4.0,,
3B,instruction_constrained,HbA1c,numeric,1.0,0.1667,3.3333,4.0,,
3B,instruction_constrained,Insulin,numeric,1.0,0.3333,3.1667,3.0,,
3B,instruction_constrained,TG,numeric,1.0,0.1667,3.6667,4.0,,
3B,instruction_constrained,Temp,numeric,1.0,0.3333,3.1667,4.0,,
3B,role_prompting,BP,numeric,1.0,0.3333,3.3333,4.0,,
3B,role_prompting,Creatinine,numeric,1.0,0.5,2.8333,2.0,,
3B,role_prompting,Glucose,numeric,1.0,0.3333,3.3333,4.0,,
3B,role_prompting,HR,numeric,1.0,0.5,3.0,2.0,,
3B,role_prompting,HbA1c,numeric,1.0,0.1667,3.1667,4.0,,
3B,role_prompting,Insulin,numeric,1.0,0.1667,3.0,3.0,,
3B,role_prompting,TG,numeric,1.0,0.1667,3.5,3.0,,
3B,role_prompting,Temp,numeric,1.0,0.3333,3.1667,4.0,,
3B,zero_shot,BP,numeric,1.0,0.3333,3.3333,4.0,,
3B,zero_shot,Creatinine,numeric,1.0,0.1667,3.1667,4.0,,
3B,zero_shot,Glucose,numeric,1.0,0.3333,3.1667,4.0,,
3B,zero_shot,HR,numeric,1.0,0.3333,3.3333,4.0,,
3B,zero_shot,HbA1c,numeric,1.0,0.1667,3.1667,4.0,,
3B,zero_shot,Insulin,numeric,1.0,0.5,2.8333,2.0,,
3B,zero_shot,TG,numeric,1.0,0.1667,3.6667,4.0,,
3B,zero_shot,Temp,numeric,1.0,0.3333,3.1667,4.0,,
1B,forced_answer,BP,category,1.0,0.1667,,,,
1B,forced_answer,Creatinine,category,1.0,0.1667,,,,
1B,forced_answer,Glucose,category,1.0,0.1667,,,,
1B,forced_answer,HR,category,1.0,0.1667,,,,
1B,forced_answer,HbA1c,category,1.0,0.1667,,,,
1B,forced_answer,Insulin,category,1.0,0.1667,,,,
1B,forced_answer,TG,category,1.0,0.3333,,,,
1B,forced_answer,Temp,category,1.0,0.1667,,,,
1B,instruction_constrained,BP,category,1.0,0.1667,,,,
1B,instruction_constrained,Creatinine,category,1.0,0.1667,,,,
1B,instruction_constrained,Glucose,category,1.0,0.1667,,,,
1B,instruction_constrained,HR,category,1.0,0.1667,,,,
1B,instruction_constrained,HbA1c,category,1.0,0.1667,,,,
1B,instruction_constrained,Insulin,category,1.0,0.3333,,,,
1B,instruction_constrained,TG,category,1.0,0.1667,,,,
1B,instruction_constrained,Temp,category,1.0,0.1667,,,,
1B,role_prompting,BP,category,1.0,0.1667,,,,
1B,role_prompting,Creatinine,category,1.0,0.1667,,,,
1B,role_prompting,Glucose,category,1.0,0.1667,,,,
1B,role_prompting,HR,category,1.0,0.1667,,,,
1B,role_prompting,HbA1c,category,1.0,0.1667,,,,
1B,role_prompting,Insulin,category,1.0,0.1667,,,,
1B,role_prompting,TG,category,1.0,0.3333,,,,
1B,role_prompting,Temp,category,1.0,0.3333,,,,
1B,zero_shot,BP,category,1.0,0.1667,,,,
1B,zero_shot,Creatinine,category,1.0,0.1667,,,,
1B,zero_shot,Glucose,category,1.0,0.3333,,,,
1B,zero_shot,HR,category,1.0,0.1667,,,,
1B,zero_shot,HbA1c,category,1.0,0.3333,,,,
1B,zero_shot,Insulin,category,1.0,0.1667,,,,
1B,zero_shot,TG,category,1.0,0.3333,,,,
1B,zero_shot,Temp,category,1.0,0.1667,,,,
3B,forced_answer,BP,category,1.0,0.5,,,,
3B,forced_answer,Creatinine,category,1.0,0.3333,,,,
3B,forced_answer,Glucose,category,1.0,0.5,,,,
3B,forced_answer,HR,category,1.0,0.3333,,,,
3B,forced_answer,HbA1c,category,1.0,0.1667,,,,
3B,forced_answer,Insulin,category,1.0,0.1667,,,,
3B,forced_answer,TG,category,1.0,0.1667,,,,
3B,forced_answer,Temp,category,1.0,0.3333,,,,
3B,instruction_constrained,BP,category,1.0,0.5,,,,
3B,instruction_constrained,Creatinine,category,1.0,0.5,,,,
3B,instruction_constrained,Glucose,category,1.0,0.5,,,,
3B,instruction_constrained,HR,category,1.0,0.3333,,,,
3B,instruction_constrained,HbA1c,category,1.0,0.1667,,,,
3B,instruction_constrained,Insulin,category,1.0,0.0,,,,
3B,instruction_constrained,TG,category,1.0,0.3333,,,,
3B,instruction_constrained,Temp,category,1.0,0.5,,,,
3B,role_prompting,BP,category,1.0,0.5,,,,
3B,role_prompting,Creatinine,category,1.0,0.6667,,,,
3B,role_prompting,Glucose,category,1.0,0.6667,,,,
3B,role_prompting,HR,category,1.0,0.3333,,,,
3B,role_prompting,HbA1c,category,1.0,0.3333,,,,
3B,role_prompting,Insulin,category,1.0,0.0,,,,
3B,role_prompting,TG,category,1.0,0.3333,,,,
3B,role_prompting,Temp,category,1.0,0.6667,,,,
3B,zero_shot,BP,category,1.0,0.5,,,,
3B,zero_shot,Creatinine,category,1.0,0.5,,,,
3B,zero_shot,Glucose,category,1.0,0.6667,,,,
3B,zero_shot,HR,category,1.0,0.1667,,,,
3B,zero_shot,HbA1c,category,1.0,0.3333,,,,
3B,zero_shot,Insulin,category,1.0,0.1667,,,,
3B,zero_shot,TG,category,1.0,0.3333,,,,
3B,zero_shot,Temp,category,1.0,0.5,,,,
1B,forced_answer,BP,hybrid,1.0,0.1667,4.0,4.0,0.0,
1B,forced_answer,Creatinine,hybrid,1.0,0.1667,1.5,0.0,0.1667,0.6
1B,forced_answer,Glucose,hybrid,1.0,0.1667,2.3333,0.0,0.1667,0.0
1B,forced_answer,HR,hybrid,1.0,0.1667,4.0,4.0,0.1667,0.0
1B,forced_answer,HbA1c,hybrid,1.0,0.1667,4.0,4.0,0.0,
1B,forced_answer,Insulin,hybrid,1.0,0.0,0.3333,0.0,0.1667,0.0
1B,forced_answer,TG,hybrid,1.0,0.3333,1.5,0.0,0.3333,0.3333
1B,forced_answer,Temp,hybrid,1.0,0.1667,4.0,4.0,0.0,
1B,instruction_constrained,BP,hybrid,1.0,0.1667,4.0,4.0,0.0,
1B,instruction_constrained,Creatinine,hybrid,1.0,0.1667,1.5,0.0,0.1667,0.5
1B,instruction_constrained,Glucose,hybrid,1.0,0.0,3.5,4.0,0.0,0.5
1B,instruction_constrained,HR,hybrid,1.0,0.1667,3.8333,4.0,0.0,0.0
1B,instruction_constrained,HbA1c,hybrid,0.8333,0.0,4.0,4.0,0.0,
1B,instruction_constrained,Insulin,hybrid,1.0,0.1667,2.0,2.0,0.1667,0.0
1B,instruction_constrained,TG,hybrid,0.8333,0.1667,2.6,2.0,0.3333,0.4
1B,instruction_constrained,Temp,hybrid,1.0,0.1667,4.0,4.0,0.0,
1B,role_prompting,BP,hybrid,1.0,0.1667,4.0,4.0,0.0,
1B,role_prompting,Creatinine,hybrid,1.0,0.1667,4.0,4.0,0.0,
1B,role_prompting,Glucose,hybrid,1.0,0.1667,4.0,4.0,0.0,
1B,role_prompting,HR,hybrid,1.0,0.1667,4.0,4.0,0.1667,0.0
1B,role_prompting,HbA1c,hybrid,1.0,0.1667,4.0,4.0,0.0,
1B,role_prompting,Insulin,hybrid,1.0,0.1667,4.0,4.0,0.0,
1B,role_prompting,TG,hybrid,1.0,0.1667,4.0,4.0,0.1667,1.0
1B,role_prompting,Temp,hybrid,1.0,0.1667,4.0,4.0,0.0,
1B,zero_shot,BP,hybrid,1.0,0.1667,4.0,4.0,0.0,
1B,zero_shot,Creatinine,hybrid,1.0,0.1667,4.0,4.0,0.0,
1B,zero_shot,Glucose,hybrid,1.0,0.1667,4.0,4.0,0.0,
1B,zero_shot,HR,hybrid,1.0,0.1667,4.0,4.0,0.1667,0.0
1B,zero_shot,HbA1c,hybrid,1.0,0.1667,4.0,4.0,0.0,
1B,zero_shot,Insulin,hybrid,1.0,0.1667,4.0,4.0,0.0,
1B,zero_shot,TG,hybrid,1.0,0.1667,4.0,4.0,0.1667,1.0
1B,zero_shot,Temp,hybrid,1.0,0.1667,4.0,4.0,0.0,
3B,forced_answer,BP,hybrid,1.0,0.1667,3.0,3.0,0.3333,0.0
3B,forced_answer,Creatinine,hybrid,1.0,0.1667,2.8333,3.0,0.1667,0.6667
3B,forced_answer,Glucose,hybrid,1.0,0.1667,2.8333,3.0,0.1667,0.1667
3B,forced_answer,HR,hybrid,1.0,0.1667,2.8333,3.0,0.3333,0.6667
3B,forced_answer,HbA1c,hybrid,1.0,0.1667,3.0,3.0,0.1667,0.0
3B,forced_answer,Insulin,hybrid,1.0,0.1667,3.0,3.0,0.1667,0.0
3B,forced_answer,TG,hybrid,1.0,0.1667,3.0,3.0,0.1667,0.3333
3B,forced_answer,Temp,hybrid,1.0,0.3333,2.6667,3.0,0.3333,0.4
3B,instruction_constrained,BP,hybrid,1.0,0.1667,3.0,3.0,0.3333,0.0
3B,instruction_constrained,Creatinine,hybrid,1.0,0.1667,2.8333,3.0,0.5,0.3333
3B,instruction_constrained,Glucose,hybrid,1.0,0.1667,3.0,3.0,0.5,0.5
3B,instruction_constrained,HR,hybrid,1.0,0.1667,2.8333,3.0,0.1667,0.3333
3B,instruction_constrained,HbA1c,hybrid,1.0,0.1667,3.0,3.0,0.1667,0.0
3B,instruction_constrained,Insulin,hybrid,1.0,0.1667,2.8333,3.0,0.1667,0.1667
3B,instruction_constrained,TG,hybrid,1.0,0.1667,3.0,3.0,0.3333,0.5
3B,instruction_constrained,Temp,hybrid,1.0,0.3333,2.6667,3.0,0.3333,0.4
3B,role_prompting,BP,hybrid,1.0,0.3333,2.5,2.0,0.3333,0.5
3B,role_prompting,Creatinine,hybrid,1.0,0.3333,2.5,2.0,0.5,0.6667
3B,role_prompting,Glucose,hybrid,1.0,0.3333,2.5,2.0,0.3333,0.3333
3B,role_prompting,HR,hybrid,1.0,0.1667,2.3333,2.0,0.1667,1.0
3B,role_prompting,HbA1c,hybrid,1.0,0.1667,3.0,3.0,0.0,0.0
3B,role_prompting,Insulin,hybrid,1.0,0.3333,2.5,2.0,0.1667,0.8333
3B,role_prompting,TG,hybrid,1.0,0.1667,3.0,3.0,0.3333,0.5
3B,role_prompting,Temp,hybrid,1.0,0.3333,2.5,2.0,0.1667,0.5
3B,zero_shot,BP,hybrid,1.0,0.3333,2.5,2.0,0.3333,0.5
3B,zero_shot,Creatinine,hybrid,1.0,0.3333,2.5,2.0,0.5,0.6667
3B,zero_shot,Glucose,hybrid,1.0,0.3333,2.5,2.0,0.3333,0.5
3B,zero_shot,HR,hybrid,1.0,0.3333,2.5,2.0,0.3333,0.6667
3B,zero_shot,HbA1c,hybrid,1.0,0.1667,3.0,3.0,0.1667,0.0
3B,zero_shot,Insulin,hybrid,1.0,0.1667,2.1667,2.0,0.1667,0.8333
3B,zero_shot,TG,hybrid,1.0,0.1667,3.0,3.0,0.3333,0.5
3B,zero_shot,Temp,hybrid,1.0,0.3333,2.5,2.0,0.3333,0.3333
